,host_name,host_since,neighbourhood,property_type,room_type,price
984,Enikő,2016-04-10,,Entire rental unit,Entire home/apt,"$66,013.00"
985,Carmi & Adam,2019-07-01,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$25,015.00"
986,Tamas,2016-04-14,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$18,351.00"
987,Tamas,2016-04-14,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$16,043.00"
988,Tamas,2016-04-14,,Entire rental unit,Entire home/apt,"$18,871.00"
989,Andras,2016-04-20,"Budapest, Hungary",Entire condo,Entire home/apt,"$17,933.00"
990,Tamas,2016-04-14,,Entire rental unit,Entire home/apt,"$19,332.00"
991,Marton,2016-04-24,"Budapest, Hungary",Entire condo,Entire home/apt,"$27,000.00"
992,Zoltan,2016-04-20,"Budapest, Hungary",Entire condo,Entire home/apt,"$28,618.00"
993,István,2015-07-22,"Budapest, Hungary",Entire condo,Entire home/apt,"$31,474.00"
994,Tibor,2015-03-10,"Budapest, Hungary",Entire rental unit,Entire home/apt,
995,Sophia,2012-07-01,"Budapest, Hungary",Entire rental unit,Entire home/apt,
996,Beáta,2013-09-29,,Entire home,Entire home/apt,"$34,366.00"
997,Serafina,2013-09-18,"Budapest, Hungary",Entire condo,Entire home/apt,"$78,623.00"
998,Eni,2016-04-27,"Budapest, Hungary",Entire condo,Entire home/apt,"$27,900.00"
999,Lizzy,2015-11-15,"Budapest, Hungary",Shared room in rental unit,Shared room,"$9,522.00"
1000,Arnold,2012-06-15,,Entire condo,Entire home/apt,"$48,071.00"
1001,Jázon,2015-11-18,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$16,412.00"
1002,Zsuzsanna,2015-03-10,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$23,214.00"
1003,Marietta,2015-02-14,,Entire rental unit,Entire home/apt,"$139,612.00"
1004,Marietta,2015-02-14,,Entire condo,Entire home/apt,"$86,562.00"
1005,Eszter,2016-04-27,,Entire rental unit,Entire home/apt,"$22,000.00"
1006,Igor Dusán,2015-11-09,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$24,422.00"
1007,Péter,2016-05-04,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$22,873.00"
1008,Julia,2014-04-02,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$36,871.00"
1009,Ákos,2013-07-18,"Budapest, Hungary",Entire condo,Entire home/apt,"$22,645.00"
1010,Tanja & Tamás,2016-05-06,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$34,969.00"
1011,Eszter,2015-12-08,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$22,696.00"
1012,Szabolcs,2015-07-24,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$119,490.00"
1013,Gábor,2016-05-07,"Budapest, Hungary",Entire loft,Entire home/apt,"$13,612.00"
1014,Barbara,2016-05-08,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$43,398.00"
1015,Marco,2015-04-22,"Budapest, Hungary",Entire condo,Entire home/apt,"$15,581.00"
1016,Kristóf,2016-05-08,"Budapest, Hungary",Entire condo,Entire home/apt,"$87,559.00"
1017,Stefan,2014-12-14,,Entire rental unit,Entire home/apt,"$63,879.00"
1018,George,2012-04-04,"Budapest, Hungary",Entire condo,Entire home/apt,"$18,002.00"
1019,George,2012-04-04,"Budapest, Hungary",Entire condo,Entire home/apt,"$19,620.00"
1020,Zsuzsanna,2016-05-09,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$32,441.00"
1021,György,2016-05-09,,Entire rental unit,Entire home/apt,"$14,802.00"
1022,Zsuzsa Lili,2016-04-26,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$27,469.00"
1023,Kristóf,2016-05-08,"Budapest, Hungary",Private room in rental unit,Private room,"$44,000.00"
1024,Csilla,2015-07-30,"Budapest, Hungary",Entire condo,Entire home/apt,"$27,395.00"
1025,Szabolcs,2014-04-25,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$25,494.00"
1026,Kristóf,2016-05-08,"Budapest, Hungary",Private room in rental unit,Private room,"$43,000.00"
1027,Kristóf,2016-05-08,"Budapest, Hungary",Private room in rental unit,Private room,"$51,353.00"
1028,Brigitta,2016-05-14,,Entire rental unit,Entire home/apt,"$19,378.00"
1029,Levente,2016-05-15,,Entire rental unit,Entire home/apt,"$13,139.00"
1030,Zoltán,2016-05-09,,Entire rental unit,Entire home/apt,"$259,218.00"
1031,Fidureal,2016-05-16,,Entire rental unit,Entire home/apt,"$66,645.00"
1032,Tamás,2013-07-15,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$10,972.00"
1033,Fidureal,2016-05-16,,Entire condo,Entire home/apt,"$51,060.00"
1034,Fidureal,2016-05-16,,Entire rental unit,Entire home/apt,"$54,938.00"
1035,Eva,2016-04-12,,Entire rental unit,Entire home/apt,"$19,645.00"
1036,Zoltán,2014-04-03,,Entire condo,Entire home/apt,"$50,076.00"
1037,Zoltán,2014-04-03,,Entire condo,Entire home/apt,"$46,481.00"
1038,Sándor,2016-05-18,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$76,226.00"
1039,Katalin,2015-12-20,,Entire rental unit,Entire home/apt,"$21,600.00"
1040,Norah (Lidi),2016-04-05,"Budapest, Hungary",Private room in rental unit,Private room,"$14,542.00"
1041,Serafina,2013-09-18,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$25,784.00"
1042,Gerzson,2016-05-20,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$21,318.00"
1043,Gabriella,2016-05-20,,Entire rental unit,Entire home/apt,"$27,227.00"
1044,Gabriella,2016-05-20,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$26,484.00"
1045,Ádám,2016-05-22,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$403,550.00"
1046,Ferenc,2014-11-08,"Budapest, Hungary",Entire condo,Entire home/apt,"$23,275.00"
1047,Michael&Anna,2015-04-02,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$24,258.00"
1048,Gábor,2016-05-07,"Budapest, Hungary",Entire loft,Entire home/apt,"$18,037.00"
1049,Adri,2016-05-20,"Budapest, Hungary",Entire condo,Entire home/apt,"$41,001.00"
1050,Aliz & Dominique,2014-08-14,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$26,488.00"
1051,Mihaly,2011-06-01,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$61,078.00"
1052,Peter,2016-05-30,,Entire rental unit,Entire home/apt,"$13,706.00"
1053,Norbert,2014-04-11,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$18,749.00"
1054,Little Americas,2014-07-08,"Budapest, Hungary",Entire condo,Entire home/apt,"$12,604.00"
1055,Little Americas,2014-07-08,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$16,745.00"
1056,Little Americas,2014-07-08,"Budapest, Hungary",Entire condo,Entire home/apt,"$14,644.00"
1057,Attila,2014-09-03,,Entire rental unit,Entire home/apt,
1058,Guillaume,2013-01-10,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$46,339.00"
1059,Erno & Maria,2015-12-05,"Budapest V. Ker, Budapest, Hungary",Entire condo,Entire home/apt,"$29,721.00"
1060,Judit,2013-06-25,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$22,768.00"
1061,Bernadett,2016-06-02,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$17,035.00"
1062,Henrik,2016-07-05,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$32,425.00"
1063,Brigitta & Peter,2016-05-12,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$49,052.00"
1064,Gary,2016-06-04,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$26,319.00"
1065,Ildikó,2016-05-19,,Entire condo,Entire home/apt,
1066,Kata & Viktor,2013-10-12,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$23,271.00"
1067,Melinda,2016-06-06,,Entire rental unit,Entire home/apt,"$46,000.00"
1068,Ildikó,2016-05-19,"Budapest, Hungary",Entire condo,Entire home/apt,"$38,710.00"
1069,Olivier,2016-02-06,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$17,872.00"
1070,Barbara,2014-06-12,,Entire rental unit,Entire home/apt,"$60,189.00"
1071,Daniel,2016-06-07,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$13,438.00"
1072,Mór,2013-04-29,"Budapest, Hungary",Entire condo,Entire home/apt,"$23,518.00"
1073,Adam,2013-10-11,"Budapest, Hungary",Entire condo,Entire home/apt,"$39,801.00"
1074,Krisztina,2015-09-29,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$27,111.00"
1075,Real,2015-07-03,"Budapest, Hungary",Entire condo,Entire home/apt,"$58,845.00"
1076,Judit,2016-06-09,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$40,973.00"
1077,Bence,2016-06-13,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$21,057.00"
1078,Andrea,2016-06-14,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$44,980.00"
1079,Vilmos,2015-09-09,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$26,095.00"
1080,Tamás,2015-07-03,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$12,522.00"
1081,Zsuzsanna,2015-04-05,"Budapest, Hungary",Entire condo,Entire home/apt,
1082,László,2014-03-03,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$42,726.00"
1083,Gabor,2016-02-28,"Budapest, Hungary",Entire condo,Entire home/apt,"$89,331.00"
1084,Csilla Leposa,2016-05-31,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$37,991.00"
1085,Ákos,2014-05-09,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$18,853.00"
1086,Alexandra És Gábor,2015-11-23,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$24,089.00"
1087,Adrienn,2015-10-03,"Budapest, Hungary",Entire loft,Entire home/apt,"$26,143.00"
1088,Anna,2015-07-20,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$30,262.00"
1089,Peter,2016-06-16,"Budapest, Hungary",Entire home,Entire home/apt,"$30,874.00"
1090,Bjorn,2014-08-07,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$25,215.00"
1091,Ákos,2013-07-18,"Budapest, Hungary",Entire condo,Entire home/apt,"$22,645.00"
1092,Walter,2014-05-24,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$29,431.00"
1093,Peter,2015-07-10,"Budapest, Hungary",Entire rental unit,Entire home/apt,
1094,Alexander,2016-06-21,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$40,294.00"
1095,Erika,2015-05-09,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$10,907.00"
1096,Tamás,2016-06-23,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$33,191.00"
1097,Ákos,2013-07-18,"Budapest, Hungary",Entire condo,Entire home/apt,"$22,233.00"
1098,Eszter,2015-10-06,"Budapest, Hungary",Entire condo,Entire home/apt,"$24,970.00"
1099,Zelma,2015-10-08,,Entire condo,Entire home/apt,
1100,Devon,2015-11-24,"Budapest, Hungary",Entire loft,Entire home/apt,
1101,Patrícia,2016-06-20,"Budapest, Hungary",Entire rental unit,Entire home/apt,
1102,Kata&Becky,2015-11-03,"Budapest, Hungary",Entire condo,Entire home/apt,"$79,233.00"
1103,Andrea,2016-06-25,"Budapest, Hungary",Entire condo,Entire home/apt,"$25,107.00"
1104,Ugo,2012-02-26,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$37,337.00"
1105,Ugo,2012-02-26,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$33,008.00"
1106,Márta,2016-06-28,"Budapest, Hungary",Entire condo,Entire home/apt,"$38,943.00"
1107,Henrik Gabor,2016-06-28,"Budapest, Hungary",Room in serviced apartment,Hotel room,"$36,636.00"
1108,Aliz,2015-06-08,"Budapest, Hungary",Entire condo,Entire home/apt,"$26,533.00"
1109,Nóra,2016-06-29,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$42,415.00"
1110,István,2016-06-29,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$20,063.00"
1111,Laura,2016-07-01,,Entire condo,Entire home/apt,
1112,Laszlo,2016-07-03,,Entire rental unit,Entire home/apt,"$19,175.00"
1113,Marietta,2015-02-14,,Entire rental unit,Entire home/apt,"$30,008.00"
1114,Beatrix & Zack,2013-03-09,,Entire rental unit,Entire home/apt,"$20,357.00"
1115,Laszlo,2016-03-30,"Budapest, Hungary",Entire condo,Entire home/apt,"$22,071.00"
1116,"Justin, Zsofi & Steve",2016-06-11,"Budapest, Pest, Hungary",Entire rental unit,Entire home/apt,"$45,948.00"
1117,David,2014-04-12,"Budapest, Hungary",Entire loft,Entire home/apt,"$49,542.00"
1118,Péter,2016-07-04,,Entire condo,Entire home/apt,
1119,Bernadett,2016-07-05,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$25,037.00"
1120,Henrik,2016-07-05,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$19,286.00"
1121,Andrea,2014-10-18,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$17,891.00"
1122,Henrik,2016-07-05,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$19,286.00"
1123,Gas,2016-07-05,"Budapest, Hungary",Entire home,Entire home/apt,"$18,854.00"
1124,Zelma,2015-10-08,,Entire condo,Entire home/apt,
1125,George,2012-04-04,"Budapest, Hungary",Entire condo,Entire home/apt,"$17,315.00"
1126,Mária Anna,2016-07-09,"Budapest, Hungary",Private room in condo,Private room,"$10,406.00"
1127,Bernadett,2016-07-05,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$28,919.00"
1128,Nikola,2016-06-13,,Entire rental unit,Entire home/apt,
1129,Sergey,2016-07-10,"Budapest, Hungary",Entire serviced apartment,Entire home/apt,"$28,046.00"
1130,Sergey,2016-07-10,"Budapest, Будапешт, Hungary",Entire rental unit,Entire home/apt,"$30,290.00"
1131,Sergey,2016-07-10,"Budapest, Будапешт, Hungary",Entire rental unit,Entire home/apt,"$19,632.00"
1132,Sergey,2016-07-10,"Budapest, Будапешт, Hungary",Entire rental unit,Entire home/apt,"$26,307.00"
1133,István,2015-08-28,,Entire condo,Entire home/apt,
1134,Rita,2016-07-11,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$47,481.00"
1135,Kata & Viktor,2013-10-12,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$25,366.00"
1136,Gabriella,2015-11-30,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$15,061.00"
1137,Greta,2011-03-28,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$73,099.00"
1138,László,2014-03-03,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$37,809.00"
1139,Robert,2015-06-14,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$17,305.00"
1140,Boglarka,2012-03-30,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$29,878.00"
1141,Almira,2013-04-10,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$26,015.00"
1142,Lilla&Balázs,2016-07-15,"Budapest, Hungary",Entire condo,Entire home/apt,"$20,753.00"
1143,Lilla,2016-07-15,"Budapest, Hungary",Private room,Private room,"$27,145.00"
1144,Edit,2016-07-15,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$96,346.00"
1145,Zoltán,2014-08-04,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$25,107.00"
1146,Alex And Zoltan,2016-07-16,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$45,292.00"
1147,Richard,2016-07-16,"Budapest, Hungary",Entire rental unit,Entire home/apt,
1148,Richard,2016-07-16,,Entire condo,Entire home/apt,"$38,310.00"
1149,Henrik,2016-07-05,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$22,870.00"
1150,Little Americas,2014-07-08,"Budapest, Hungary",Entire condo,Entire home/apt,"$18,245.00"
1151,"Justin, Zsofi & Steve",2016-06-11,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$34,302.00"
1152,Sándor,2016-05-18,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$283,420.00"
1153,Noémi,2013-07-31,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$22,500.00"
1154,Arnold & Suzy,2016-07-19,"Budapest, Pest megye, Hungary",Entire condo,Entire home/apt,"$16,447.00"
1155,Gabor,2016-02-08,,Private room in hostel,Private room,"$11,022.00"
1156,Gábor,2014-05-17,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$16,767.00"
1157,László,2015-08-10,,Entire rental unit,Entire home/apt,"$30,714.00"
1158,Toni,2016-05-21,,Entire rental unit,Entire home/apt,"$21,182.00"
1159,Henrik,2016-07-05,"Budapest, Hungary",Room in serviced apartment,Hotel room,"$25,526.00"
1160,David Simon,2016-08-04,"Budapest, Hungary",Entire condo,Entire home/apt,"$21,850.00"
1161,Gabor,2016-02-08,,Room in boutique hotel,Private room,"$9,511.00"
1162,Csaba,2015-07-12,"Budapest, Hungary",Entire condo,Entire home/apt,"$27,357.00"
1163,Robert And Violeta,2016-07-24,"Budapest, Hungary",Entire condo,Entire home/apt,"$18,697.00"
1164,Gizella,2015-11-30,"Budapest, Hungary",Entire condo,Entire home/apt,"$14,286.00"
1165,Anna Viktoria,2015-11-03,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$16,966.00"
1166,Orsolya,2014-08-14,,Entire rental unit,Entire home/apt,"$22,986.00"
1167,Pipszi,2016-07-24,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$19,937.00"
1168,Gabriella,2015-11-30,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$16,100.00"
1169,Venus,2012-07-19,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$30,914.00"
1170,Flora,2010-06-30,"Budapest, Hungary",Entire condo,Entire home/apt,"$25,492.00"
1171,George,2012-04-04,"Budapest, Hungary",Entire condo,Entire home/apt,"$47,335.00"
1172,Zsuzsa,2015-07-07,"Budapest, Hungary",Private room in rental unit,Private room,"$9,500.00"
1173,Simone,2014-10-06,,Entire rental unit,Entire home/apt,"$35,202.00"
1174,Roland,2016-07-29,,Entire rental unit,Entire home/apt,"$29,085.00"
1175,Home In Budapest,2012-03-20,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$26,026.00"
1176,Zoltán,2015-10-01,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$15,857.00"
1177,Tamas,2016-04-14,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$20,255.00"
1178,Anikó,2015-09-17,"Budapest, Hungary",Entire condo,Entire home/apt,"$82,368.00"
1179,Zsuzsa Lili,2016-04-26,"Budapest, Hungary",Entire condo,Entire home/apt,"$24,035.00"
1180,Paolo,2011-04-12,,Entire rental unit,Entire home/apt,"$19,390.00"
1181,Home In Budapest,2012-03-20,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$27,065.00"
1182,Ildi,2016-08-04,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$19,800.00"
1183,Ildi,2016-08-04,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$22,000.00"
1184,Bence,2016-08-04,"Budapest, Hungary",Entire condo,Entire home/apt,"$14,542.00"
1185,Shantee,2012-11-29,"Budapest, Hungary",Shared room in yurt,Shared room,"$12,900.00"
1186,Laci,2013-06-05,,Entire rental unit,Entire home/apt,"$47,411.00"
1187,Gyöngyi,2018-05-26,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$26,569.00"
1188,Árpád,2016-08-07,"Budapest, Hungary",Entire loft,Entire home/apt,"$16,591.00"
1189,Zsuzsa,2016-08-07,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$36,237.00"
1190,Csilla,2016-02-16,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$44,181.00"
1191,Mike,2012-12-13,,Entire rental unit,Entire home/apt,"$19,967.00"
1192,Anikó,2015-09-17,"Budapest, Hungary",Private room in rental unit,Private room,"$9,114.00"
1193,Ágota,2016-03-04,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$14,231.00"
1194,Bianka,2016-08-09,"Budapest, Hungary",Entire condo,Entire home/apt,"$79,771.00"
1195,Marci,2015-01-05,,Entire rental unit,Entire home/apt,"$19,732.00"
1196,Veronika,2016-07-31,"Budapest, Hungary",Entire condo,Entire home/apt,"$16,143.00"
1197,Home In Budapest,2012-03-20,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$28,796.00"
1198,Anikó,2015-09-17,"Budapest, Hungary",Private room in rental unit,Private room,"$10,974.00"
1199,Lilla,2016-07-15,"Budapest, Hungary",Room in boutique hotel,Private room,"$25,373.00"
1200,Lilla,2016-07-15,"Budapest, Hungary",Private room,Private room,"$25,373.00"
1201,Lilla,2016-07-15,"Budapest, Hungary",Private room in rental unit,Private room,"$27,145.00"
1202,Lilla,2016-07-15,"Budapest, Hungary",Private room in rental unit,Private room,"$25,373.00"
1203,Anna,2016-08-11,"Budapest, Hungary",Private room in rental unit,Private room,"$16,783.00"
1204,Sergey,2016-07-10,"Budapest, Будапешт, Hungary",Entire rental unit,Entire home/apt,"$27,485.00"
1205,Lilla,2016-07-15,"Budapest, Hungary",Private room in rental unit,Private room,"$23,891.00"
1206,Tibor,2015-03-10,"Budapest, Hungary",Entire condo,Entire home/apt,"$23,995.00"
1207,Krisztina,2016-08-15,,Entire rental unit,Entire home/apt,"$16,200.00"
1208,Ádám,2015-01-05,,Entire rental unit,Entire home/apt,"$15,500.00"
1209,Gergely József,2014-03-04,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$20,488.00"
1210,Lilla,2016-07-15,"Budapest, Hungary",Private room,Private room,"$23,787.00"
1211,Lilla,2016-07-15,"Budapest, Hungary",Private room,Private room,"$19,426.00"
1212,Lilla,2016-07-15,"Budapest, Hungary",Private room,Private room,"$25,373.00"
1213,Lilla,2016-07-15,"Budapest, Hungary",Private room,Private room,"$25,373.00"
1214,Lefei,2016-02-23,"Budapest, Hungary",Entire condo,Entire home/apt,"$15,786.00"
1215,Tibor,2014-10-21,"Budapest, Hungary",Entire condo,Entire home/apt,"$45,416.00"
1216,Judit,2016-08-21,"Budapest, Hungary",Private room in rental unit,Private room,"$15,350.00"
1217,Sebastiano,2014-06-24,"Budapest, Hungary",Entire loft,Entire home/apt,"$26,479.00"
1218,Flora,2016-08-23,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$22,529.00"
1219,Krisztina,2023-06-17,"Budapest, Hungary",Entire condo,Entire home/apt,"$65,011.00"
1220,Csaba,2016-08-23,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$30,623.00"
1221,Brigitta,2016-08-22,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$25,233.00"
1222,Katalin,2016-04-03,"Budapest, Hungary",Entire condo,Entire home/apt,"$33,819.00"
1223,Andrea,2016-04-17,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$24,139.00"
1224,Krisztian,2014-05-10,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$27,286.00"
1225,Gergely,2016-08-29,,Entire rental unit,Entire home/apt,"$31,739.00"
1226,Andras,2014-03-21,,Entire condo,Entire home/apt,"$13,415.00"
1227,Robert,2016-08-30,"Budapest, Hungary",Private room in rental unit,Private room,
1228,Bianka,2016-08-09,"Budapest, Hungary",Entire condo,Entire home/apt,"$114,171.00"
1229,Dávid,2015-01-09,,Entire rental unit,Entire home/apt,"$119,091.00"
1230,Gábor,2016-09-05,,Entire condo,Entire home/apt,"$25,495.00"
1231,Sara,2013-01-15,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$16,448.00"
1232,Sonomed-Geodor Kft.,2016-09-08,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$14,793.00"
1233,Paolo,2011-04-12,,Entire rental unit,Entire home/apt,"$22,259.00"
1234,Béla,2011-07-01,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$35,408.00"
1235,Ambrus,2016-02-10,"Budapest, Hungary",Entire condo,Entire home/apt,"$18,000.00"
1236,Zoltán,2016-08-28,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$13,267.00"
1237,Ronnie,2016-03-16,"Budapest, Hungary",Entire condo,Entire home/apt,"$14,799.00"
1238,Ágnes,2015-05-07,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$15,675.00"
1239,Zsu,2016-08-31,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$11,990.00"
1240,Hun Tamas,2013-11-11,"Budapest, Hungary",Shared room in hostel,Shared room,"$6,038.00"
1241,Andrea,2016-08-15,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$26,513.00"
1242,Peter,2015-04-28,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$46,455.00"
1243,István,2016-09-21,"Budapest, Hungary",Entire condo,Entire home/apt,"$21,736.00"
1244,Katalin,2012-11-15,"Budapest, Hungary",Entire loft,Entire home/apt,"$27,786.00"
1245,Eva,2013-04-16,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$21,906.00"
1246,Andras,2014-10-27,,Entire rental unit,Entire home/apt,"$17,254.00"
1247,Andras,2014-10-27,,Entire rental unit,Entire home/apt,"$15,812.00"
1248,Andras,2014-10-27,,Entire rental unit,Entire home/apt,"$14,312.00"
1249,Sándor,2013-03-02,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$19,207.00"
1250,Sándor,2013-03-02,"Budapest, Hungary",Entire rental unit,Entire home/apt,
1251,Reka And Gabor,2013-06-25,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$19,159.00"
1252,Márta,2016-09-26,"Budapest, Hungary",Entire rental unit,Entire home/apt,
1253,Patricia,2016-09-26,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$15,603.00"
1254,Mihaly,2011-06-01,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$23,320.00"
1255,Edina&Balázs,2016-09-27,"Budapest, Hungary",Entire condo,Entire home/apt,
1256,Fanni,2014-03-17,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$36,000.00"
1257,Kriszti,2016-09-05,"Budapest, Hungary",Entire condo,Entire home/apt,"$15,000.00"
1258,Kristóf,2016-04-18,"Budapest, Hungary",Entire condo,Entire home/apt,"$31,475.00"
1259,Zalán,2016-09-29,"Budapest, Hungary",Entire loft,Entire home/apt,"$36,355.00"
1260,Benny And Zizi,2012-12-03,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$12,243.00"
1261,Anna,2016-10-03,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$23,299.00"
1262,István,2016-09-19,,Entire condo,Entire home/apt,"$22,506.00"
1263,Liron,2015-07-18,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$60,593.00"
1264,Judit,2016-08-21,"Budapest, Hungary",Private room in rental unit,Private room,"$15,061.00"
1265,Balázs,2016-10-06,"Budapest, Hungary",Entire home,Entire home/apt,"$142,500.00"
1266,Anita & Geza,2016-10-10,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$12,988.00"
1267,Anita & Geza,2016-10-10,"Budapest, Hungary",Entire condo,Entire home/apt,"$14,007.00"
1268,Sándor,2013-03-02,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$22,094.00"
1269,Anita & Geza,2016-10-10,"Budapest, Hungary",Entire condo,Entire home/apt,"$14,920.00"
1270,Henrik,2016-07-05,"Budapest, Hungary",Entire rental unit,Entire home/apt,"$19,286.00"
1271,Little Americas,2014-07-08,"Budapest, Hungary",Entire condo,Entire home/apt,"$14,344.00"
1272,Little Americas,2014-07-08,"Budapest, Hungary",Entire condo,Entire home/apt,"$18,365.00"
1273,Little Americas,2014-07-08,"Budapest, Hungary",Entire condo,Entire home/apt,"$16,444.00"
